rams_presto_usage_temp.put_filedate,rams_presto_usage_temp.put_line_number,rams_presto_usage_temp.put_farecard,rams_presto_usage_temp.put_servdate,rams_presto_usage_temp.put_trans_date,rams_presto_usage_temp.put_trans_time,rams_presto_usage_temp.put_dtype,rams_presto_usage_temp.put_device,rams_presto_usage_temp.put_presto_loc,rams_presto_usage_temp.put_location,rams_presto_usage_temp.put_ttime,rams_presto_usage_temp.put_ride_count,rams_presto_usage_temp.put_loyalty,rams_presto_usage_temp.put_deducted_fare,rams_presto_usage_temp.put_xfer_credit,rams_presto_usage_temp.put_xfer_company,rams_presto_usage_temp.put_underpayment,rams_presto_usage_temp.put_vehicle_id,rams_presto_usage_temp.put_tripnumber,rams_presto_usage_temp.put_uniclass,rams_presto_usage_temp.put_go_trip,rams_presto_usage_temp.put_trans_id,rams_presto_usage_temp.put_route_no,rams_presto_usage_temp.put_epurse_bal_old,rams_presto_usage_temp.put_epurse_bal_new,rams_presto_usage_temp.put_card_tsn,rams_presto_usage_temp.put_dev_tsn,rams_presto_usage_temp.put_logical,rams_presto_usage_temp.put_xfer_device,rams_presto_usage_temp.put_xfer_regulation
20170101,40492,150192,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,18:57:00,FTP,13313E,12,161,18:57:00,1,0,5.30000019073,0,0,5.59999990463,0,0,0,NULL,2930274035,NULL,35.3699989319,30.0699996948,636,959,FTP_00012,NULL,0
20170102,18537,110257,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,12:22:00,FTP,130002,43,131,12:22:00,1,0,5.30000019073,0,0,3.34999990463,0,0,0,NULL,2930432647,NULL,46.6100006104,41.3100013733,3324,3916,FTP_1127,NULL,0
20170102,28110,478273,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,14:26:00,FTP,130015,55,021,14:26:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930457315,NULL,7.36999988556,2.06999993324,93,630,FTP_00534,NULL,0
20170103,6222,146514,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,12:42:00,FTP,130052,55,021,12:42:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930660694,NULL,38.7200012207,33.4199981689,1563,114,FTP_00479,NULL,0
20170103,17376,8463,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,19:44:00,FTP,130069,22,022,19:44:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930553126,NULL,9.5,4.19999980927,2931,3051,FTP_01105,NULL,0
20170103,21864,4400142,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:04:00,FTP,132FE3,47,911,07:04:00,1,0,5.30000019073,0,1,3.04999995232,0,0,0,NULL,2930630989,NULL,85.1200027466,79.8199996948,757,2236,FTP_00248,130063,0
20170103,22202,489034,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,20:44:00,FTP,13299C,16,061,20:44:00,1,0,5.30000019073,0,0,4.5,0,0,0,NULL,2930809195,NULL,5.84999990463,0.550000011921,1105,1496,FTP_10602,NULL,0
20170103,22463,4015101,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:28:00,FTP,13008D,25,181,14:28:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930693896,NULL,20.0,14.6999998093,4,2630,FTP_1113,NULL,0
20170103,22598,3128805,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,19:14:00,FTP,1329BA,12,161,19:14:00,1,0,5.30000019073,0,1,5.59999990463,0,0,4,NULL,2930765559,NULL,13.0900001526,7.78999996185,3436,244,FTP_1081,1329D3,0
20170103,24287,4003374,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,15:07:00,FTP,130018,55,021,15:07:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930694378,NULL,41.0,35.7000007629,5,686,FTP_00535,NULL,0
20170103,26871,4212920,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:02:00,DCS,1117317,2385,18,14:02:00,1,0,5.30000019073,0,0,0.0,536,2793337,4,47361-5,2930801957,47,8.01000022888,2.71000003815,93,2601,DCS_01419,NULL,0
20170103,27836,2169432,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,08:18:00,FTP,132FEC,25,181,08:18:00,1,0,5.30000019073,0,0,6.80000019073,0,0,4,NULL,2930631193,NULL,8.43999958038,3.1400001049,744,3977,FTP_1107,NULL,0
20170103,28027,4293273,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:09:00,FTP,130018,55,021,21:09:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930798834,NULL,51.0800018311,45.7799987793,116,870,FTP_00535,NULL,0
20170103,28994,218200,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,05:13:00,FTP,132A8C,11,331,05:13:00,1,6,5.30000019073,0,0,8.25,0,0,0,NULL,2930623589,NULL,36.5800018311,31.2800006866,4064,2546,FTP_10375,NULL,0
20170103,29781,2158059,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,15:58:00,FTP,132FB2,50,091,15:58:00,1,0,5.30000019073,0,0,3.20000004768,0,0,0,NULL,2930727793,NULL,22.6800003052,17.3799991608,527,626,FTP_00011,NULL,0
20170103,29974,3263300,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:15:00,FTP,13311D,33,311,07:15:00,1,0,5.30000019073,0,0,9.75,0,0,0,NULL,2930575298,NULL,25.9699993134,20.6700000763,1095,2939,FTP_10267,NULL,0
20170103,34164,4087746,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,13:29:00,FTP,1300BF,48,111,13:29:00,1,0,5.30000019073,0,0,5.15000009537,0,0,2,NULL,2930664532,NULL,28.8400001526,23.5400009155,82,3844,FTP_1134,NULL,0
20170103,34325,163545,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:43:00,FTP,13299C,16,061,21:43:00,1,0,5.30000019073,0,0,4.5,0,0,0,NULL,2930808942,NULL,14.8599996567,9.56000041962,1827,1511,FTP_10602,NULL,0
20170103,35015,4254856,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,17:37:00,FTP,130018,55,021,17:37:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930733415,NULL,81.5100021362,76.2099990845,54,772,FTP_00535,NULL,0
20170103,35679,3865363,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,10:13:00,FTP,13306E,66,698,10:13:00,1,0,5.30000019073,0,0,8.75,0,0,0,NULL,2930623839,NULL,58.9700012207,53.6699981689,391,3771,FTP_00353,NULL,0
20170103,38322,124535,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,10:46:00,FTP,130055,32,033,10:46:00,1,0,5.30000019073,0,0,5.94999980927,0,0,0,NULL,2930629911,NULL,39.4300003052,34.1300010681,2218,3655,FTP_1117,NULL,0
20170103,38381,3978909,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:36:00,FTP,130018,55,021,21:36:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930806159,NULL,22.3400001526,17.0400009155,75,882,FTP_00535,NULL,0
20170103,39834,3590366,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,12:24:00,FTP,132FFE,3,171,12:24:00,1,0,5.30000019073,0,0,6.34999990463,0,0,0,NULL,2930658823,NULL,59.3800010681,54.0800018311,1025,2179,FTP_1059,NULL,0
20170103,40514,3860013,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:37:00,FTP,132F29,20,123,07:37:00,1,0,5.30000019073,0,0,2.70000004768,0,0,0,NULL,2930625024,NULL,6.57999992371,1.27999997139,601,2320,FTP_00412,NULL,0
20170103,40609,3890510,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,18:36:00,FTP,132F8C,55,021,18:36:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930762710,NULL,12.2399997711,6.94000005722,25,680,FTP_00323,NULL,0
20170103,41879,4397645,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,08:41:00,FTP,132FD2,48,111,08:41:00,1,0,5.30000019073,0,0,5.15000009537,0,0,0,NULL,2930617314,NULL,121.029998779,115.730003357,585,3332,FTP_1140,NULL,0
20170104,19,3808056,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:28:00,DCS,1116839,421,33,14:28:00,1,0,5.30000019073,0,0,3.84999990463,455,2792194,0,31492-4,2930729661,31,28.3199996948,23.0200004578,686,3854,DCS_01125,NULL,0
