rams_presto_usage.rpu_filedate,rams_presto_usage.rpu_line_number,rams_presto_usage.rpu_servdate,rams_presto_usage.rpu_trans_date,rams_presto_usage.rpu_farecard,rams_presto_usage.rpu_status,rams_presto_usage.rpu_usage_type,rams_presto_usage.rpu_or_dtype,rams_presto_usage.rpu_or_device,rams_presto_usage.rpu_or_presto_loc,rams_presto_usage.rpu_or_location,rams_presto_usage.rpu_or_ttime,rams_presto_usage.rpu_de_dtype,rams_presto_usage.rpu_de_device,rams_presto_usage.rpu_de_presto_loc,rams_presto_usage.rpu_de_location,rams_presto_usage.rpu_de_ttime,rams_presto_usage.rpu_ride_count,rams_presto_usage.rpu_loyalty,rams_presto_usage.rpu_deducted_fare,rams_presto_usage.rpu_xfer_credit,rams_presto_usage.rpu_xfer_company,rams_presto_usage.rpu_cashfare,rams_presto_usage.rpu_vehicle_id,rams_presto_usage.rpu_tripnumber,rams_presto_usage.rpu_uniclass,rams_presto_usage.rpu_go_trip,rams_presto_usage.rpu_or_trans_id,rams_presto_usage.rpu_de_trans_id,rams_presto_usage.rpu_route_no,rams_presto_usage.rpu_epurse_bal_old,rams_presto_usage.rpu_epurse_bal_new,rams_presto_usage.rpu_or_card_tsn,rams_presto_usage.rpu_de_card_tsn,rams_presto_usage.rpu_or_dev_tsn,rams_presto_usage.rpu_de_dev_tsn,rams_presto_usage.rpu_underpayment,rams_presto_usage.rpu_or_logical,rams_presto_usage.rpu_de_logical,rams_presto_usage.rpu_xfer_device,rams_presto_usage.rpu_xfer_regulation
20170101,68,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,337843,0,C,DCS,1117403,252,02,22:55:00,DCS,1117403,2952,32,23:46:00,1,0,6.94000005722,0,0,8.5,460,2782305,4,31875-2,2930091055,2930095413,31,14.8000001907,7.86000013351,537,538,2082,2102,0,DCS_01130,DCS_01130,NULL,0
20170101,302,2016-12-26 00:00:00.0,2016-12-26 00:00:00.0,3963811,0,C,DCS,1116956,380,17,20:54:00,DCS,1116956,341,18,21:11:00,1,0,0.0,5,1,5.30000019073,444,2780768,0,18841-2,2930113183,2930118285,18,21.1399993896,21.1399993896,151,152,1426,1430,0,DCS_03014,DCS_03014,NULL,0
20170101,397,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4665913,0,C,DCS,1116866,252,02,20:17:00,DCS,1116866,4011,11,20:41:00,1,5,0.0,0,0,6.75,492,2781461,4,21751-2,2930116003,2930117150,21,112.730003357,112.730003357,276,277,385,401,0,DCS_01152,DCS_01152,NULL,0
20170101,715,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3805864,0,C,DCS,1117483,2613,35,20:34:00,DCS,1117483,4033,33,20:49:00,1,4,0.810000002384,0,0,6.5,566,2782263,0,31780-2,2930047205,2930034474,31,129.869995117,129.059997559,3044,3045,2743,2745,0,DCS_01595,DCS_01595,NULL,0
20170101,718,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,505029,0,C,DCS,1117117,421,33,16:19:00,DCS,1117117,549,43,17:35:00,1,0,4.90999984741,2,6,8.0,435,2782829,0,37451-2,2930088982,2930094487,37,39.3600006104,34.4500007629,1750,1751,1575,1603,0,DCS_03005,DCS_03005,1307052,0
20170101,737,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4789003,0,C,DCS,1122532,333,20,15:50:00,DCS,1122532,341,18,16:59:00,1,0,7.07999992371,2,6,10.4499998093,571,2783263,0,47481-2,2930092372,2930094783,47,16.3700008392,9.28999996185,616,617,3205,3216,0,DCS_01632,DCS_01632,1307439,0
20170101,738,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4369177,0,C,DCS,1116677,329,22,18:53:00,DCS,1116677,394,24,19:07:00,1,5,-2.20000004768,2,6,6.34999990463,391,2781862,0,27651-2,2930020340,2930021506,27,85.2799987793,87.4800033569,1606,1607,2655,2661,0,DCS_02961,DCS_02961,1307560,0
20170101,754,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,270415,0,C,DCS,1116860,387,11,20:15:00,DCS,1116860,252,02,20:34:00,1,5,-1.37999999523,2,6,6.75,555,2781467,0,21760-2,2930115157,2930118099,21,39.1300010681,40.5099983215,1371,1372,3092,3095,0,DCS_01587,DCS_01587,1306911,0
20170101,771,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4885905,0,C,DCS,1117085,201,64,21:26:00,DCS,1117085,4065,65,21:48:00,1,0,4.71000003815,0,0,5.30000019073,403,2784140,0,68761-2,2930154415,2930160508,68,30.3799991608,25.6700000763,50,51,2635,2637,0,DCS_02973,DCS_02973,NULL,0
20170101,780,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4840079,0,C,DCS,1117061,333,20,18:41:00,DCS,1117061,339,16,19:20:00,1,7,-2.04999995232,2,6,8.94999980927,379,2783309,4,47661-2,2930091253,2930087020,47,65.1800003052,67.2300033569,189,190,1020,1026,0,DCS_02949,DCS_02949,1307418,0
