rams_presto_salestran.rpt_deviceid,rams_presto_salestran.rpt_salesperiod,rams_presto_salestran.rpt_first_datetime,rams_presto_salestran.rpt_tran_number,rams_presto_salestran.rpt_tran_datetime,rams_presto_salestran.rpt_trx_type,rams_presto_salestran.rpt_ops_tsn,rams_presto_salestran.rpt_presto_location,rams_presto_salestran.rpt_device_location,rams_presto_salestran.rpt_location,rams_presto_salestran.rpt_purchase_id,rams_presto_salestran.rpt_amount,rams_presto_salestran.rpt_debitcredit,rams_presto_salestran.rpt_revenue,rams_presto_salestran.rpt_farecard,rams_presto_salestran.rpt_status,rams_presto_salestran.rpt_dat_filename,rams_presto_salestran.rpt_batchno,rams_presto_salestran.rpt_trans_type,rams_presto_salestran.rpt_pop_tcode,rams_presto_salestran.rpt_device_type,rams_presto_salestran.rpt_or_presto_loc,rams_presto_salestran.rpt_or_location,rams_presto_salestran.rpt_de_presto_loc,rams_presto_salestran.rpt_de_location,rams_presto_salestran.rpt_presto_trip,rams_presto_salestran.rpt_tripnumber,rams_presto_salestran.rpt_underpayment,rams_presto_salestran.rpt_trans_id,rams_presto_salestran.rpt_overdraft,rams_presto_salestran.rpt_line_id,rams_presto_salestran.rpt_vehicle_id,rams_presto_salestran.rpt_settlement_id,rams_presto_salestran.rpt_settlement_date,rams_presto_salestran.rpt_operation_tsn,rams_presto_salestran.rpt_pur_category,rams_presto_salestran.rpt_farecard_tsn,rams_presto_salestran.rpt_purchase_class,rams_presto_salestran.rpt_purchase_type,rams_presto_salestran.rpt_employeeid,rams_presto_salestran.rpt_ticket_ref,rams_presto_salestran.rpt_underpay_fee,rams_presto_salestran.rpt_voucherid_amt,rams_presto_salestran.rpt_voucherid_fr,rams_presto_salestran.rpt_settlement_status,rams_presto_salestran.rpt_logical_name
1117297,162,2017-01-10 00:00:00.0,1,2017-01-10 07:06:00.0,1,673,4020,0,0,0,20.0,DB,Y,4288149,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793155,46081-2,0.0,2936586443,0.0,46,270,201701110133,2017-01-11 15:02:11.0,673,NULL,399,0,0,07762,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_02840
1117824,188,2017-01-10 00:00:00.0,9,2017-01-10 07:11:00.0,13,821,4083,0,0,16778753,7.25,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3107,83,2606,81,2790016,12240-2,0.0,2936403532,0.0,12,716,201701110138,NULL,821,1,0,0,0,07891,2769,0,NULL,NULL,NULL,DCS_01882
1117151,195,2017-01-10 00:00:00.0,1,2017-01-10 18:12:00.0,13,484,4018,0,0,16778753,12.1000003815,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,341,18,252,02,2790453,16760-2,0.0,2937022567,0.0,16,292,201701110138,NULL,484,1,0,0,0,07676,16443,0,NULL,NULL,NULL,DCS_02862
1117090,17,2017-01-10 00:00:00.0,1,2017-01-10 13:20:00.0,1,3994,4060,0,0,0,20.0,DB,Y,3032366,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2792389,32321-2,0.0,2936588545,0.0,32,408,201701110133,2017-01-11 15:02:11.0,3994,NULL,1484,0,0,07610,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_02978
1116941,200,2017-01-10 00:00:00.0,5,2017-01-10 13:39:00.0,13,3266,4083,0,0,16778753,9.94999980927,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3107,83,137,80,2790055,12490-2,0.0,2937090444,0.0,12,724,201701110138,NULL,3266,1,0,0,0,07916,8391,0,NULL,NULL,NULL,DCS_01928
1116980,221,2017-01-09 00:00:00.0,5,2017-01-09 13:17:00.0,1,486,4021,0,0,0,20.0,DB,Y,4788183,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793358,47440-2,0.0,2937138768,0.0,47,298,201701110063,2017-01-11 15:02:29.0,486,NULL,164,0,0,08361,0,0,S01CLR000502034,S01CLR000502040,SENT,DCS_02868
1117111,225,2017-01-10 00:00:00.0,9,2017-01-10 07:00:00.0,13,3474,359,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,359,94,601,97,2794884,90220-2,0.0,2936303582,0.0,90,429,201701110138,NULL,3472,1,0,0,0,08565,19932,0,NULL,NULL,NULL,DCS_02999
1116801,41,2017-01-10 00:00:00.0,2,2017-01-10 16:30:00.0,1,755,342,0,0,0,10.0,DB,Y,2190251,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2795227,92543-2,0.0,2936885971,0.0,92,497,201701110133,2017-01-11 15:02:11.0,755,NULL,1839,0,0,08335,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_01157
1116977,11,2017-01-10 00:00:00.0,1,2017-01-10 16:12:00.0,13,3307,359,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,359,94,601,97,2794972,90680-2,0.0,2936890002,0.0,90,295,201701110138,NULL,3307,1,0,0,0,07984,13808,0,NULL,NULL,NULL,DCS_02865
1116990,143,2017-01-10 00:00:00.0,9,2017-01-10 06:58:00.0,13,3370,1191,0,0,16778753,8.05000019073,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,1191,22,211,05,2792428,33110-2,0.0,2936517415,0.0,33,596,201701110138,NULL,3370,1,0,0,0,02269,19257,0,NULL,NULL,NULL,DCS_01654
1117084,15,2017-01-09 00:00:00.0,2,2017-01-09 18:23:00.0,1,2017,1191,0,0,0,20.0,DB,Y,4140054,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2792469,33670-2,0.0,2937137812,0.0,33,402,201701110063,2017-01-11 15:02:29.0,2017,NULL,423,0,0,08440,0,0,S01CLR000502034,S01CLR000502040,SENT,DCS_02972
1116963,17,2017-01-10 00:00:00.0,1,2017-01-10 11:36:00.0,1,3072,2093,0,0,0,20.0,DB,Y,4336019,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2795164,92330-2,0.0,2936882561,0.0,92,281,201701110133,2017-01-11 15:02:11.0,3072,NULL,1430,0,0,07667,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_02851
1117137,102,2017-01-10 00:00:00.0,4,2017-01-10 08:14:00.0,1,1468,4020,0,0,0,10.0,DB,Y,4803966,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793160,46141-2,0.0,2936513746,0.0,46,803,201701110133,2017-01-11 15:02:11.0,1468,NULL,120,0,0,07859,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_03025
1116979,46,2017-01-10 00:00:00.0,1,2017-01-10 06:43:00.0,1,181,2910,0,0,0,20.0,DB,Y,4892688,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2795105,92110-2,0.0,2936591539,0.0,92,297,201701110133,2017-01-11 15:02:11.0,181,NULL,115,0,0,08564,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_02867
1116905,52,2017-01-10 00:00:00.0,6,2017-01-10 11:36:00.0,13,563,2911,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3522,96,506,96,2794890,90241-2,0.0,2936597640,0.0,90,583,201701110138,NULL,560,1,0,0,0,07571,19304,0,NULL,NULL,NULL,DCS_01646
1117001,97,2017-01-05 00:00:00.0,7,2017-01-05 07:07:00.0,13,752,2817,0,0,16778753,9.14999961853,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,2817,85,510,18,2790156,15290-2,0.0,2936404369,0.0,15,312,201701110339,NULL,752,1,0,0,0,07551,14797,0,NULL,NULL,NULL,DCS_02882
1116847,195,2017-01-10 00:00:00.0,5,2017-01-10 16:26:00.0,1,585,4089,0,0,0,20.0,DB,Y,4941939,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793743,51710-2,0.0,2936880767,0.0,51,942,201701110133,2017-01-11 15:02:11.0,585,NULL,9,0,0,08404,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_01522
1116854,89,2017-01-10 00:00:00.0,1,2017-01-10 06:05:00.0,13,1629,4026,0,0,16778753,14.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,2384,NULL,332,209,2791580,25140-2,0.0,2937022179,0.0,25,949,201701110138,NULL,1629,1,0,0,0,08509,22039,0,NULL,NULL,NULL,DCS_01525
1117017,148,2017-01-10 00:00:00.0,1,2017-01-10 17:31:00.0,13,777,219,0,0,16778753,5.59999990463,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,219,05,34,613,2794281,66601-2,0.0,2936893422,0.0,66,560,201701110138,NULL,777,1,0,0,0,16576,8662,0,NULL,NULL,NULL,DCS_01591
1116928,85,2017-01-10 00:00:00.0,7,2017-01-10 11:15:00.0,13,754,551,0,0,16778753,11.8500003815,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,551,80,169,849,2790027,12311-2,0.0,2936517998,0.0,12,203,201701110138,NULL,754,1,0,0,0,16501,7538,0,NULL,NULL,NULL,DCS_01937
1116986,221,2017-01-10 00:00:00.0,2,2017-01-10 11:53:00.0,1,2038,4021,0,0,0,10.0,DB,Y,4768373,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2793091,45380-2,0.0,2936590355,0.0,45,304,201701110133,2017-01-11 15:02:11.0,2038,NULL,217,0,0,08499,0,0,S01CLR000502153,S01CLR000502173,SENT,DCS_02874
1116711,237,2017-01-10 00:00:00.0,24,2017-01-10 08:17:00.0,13,3613,2911,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3522,96,359,94,2794866,90131-2,0.0,2936303915,0.0,90,597,201701110138,NULL,3613,1,0,0,0,08364,23256,0,NULL,NULL,NULL,DCS_01655
1117001,116,2017-01-10 00:00:00.0,4,2017-01-10 06:20:00.0,13,1689,2817,0,0,16779778,31.8999996185,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,2817,85,55,021,2790148,15220-2,0.0,2936403810,0.0,15,312,201701110138,NULL,1689,1,0,0,0,07126,14941,0,NULL,NULL,NULL,DCS_02882
1116998,186,2017-01-09 00:00:00.0,4,2017-01-09 16:47:00.0,1,3017,4007,0,0,0,7.30000019073,DB,Y,4572822,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2795233,92561-2,0.0,2937141226,0.0,92,316,201701110063,2017-01-11 15:02:29.0,3016,NULL,60,0,0,07776,0,0,S01CLR000502034,S01CLR000502040,SENT,DCS_02886
1117824,188,2017-01-10 00:00:00.0,13,2017-01-10 08:04:00.0,13,842,551,0,0,16778753,6.5,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,551,80,339,16,2790016,12240-2,0.0,2936403726,0.0,12,716,201701110138,NULL,842,1,0,0,0,07891,2773,0,NULL,NULL,NULL,DCS_01882
1176203,199,2017-01-10 00:00:00.0,1,2017-01-10 07:38:00.0,13,3833,551,0,0,16783878,9.94999980927,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,551,80,2602,83,2790006,12141-2,0.0,2936517259,0.0,12,708,201701110138,NULL,3833,1,0,0,0,07516,3344,0,NULL,NULL,NULL,DCS_01874
1116914,227,2017-01-10 00:00:00.0,1,2017-01-10 09:59:00.0,13,1198,213,0,0,16778753,7.84999990463,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,213,05,3414,20,2792533,34281-2,0.0,2936517989,0.0,34,586,201701110138,NULL,1198,1,0,0,0,07400,17608,0,NULL,NULL,NULL,DCS_01642
1116965,243,2017-01-10 00:00:00.0,7,2017-01-10 10:14:00.0,13,3346,2911,0,0,16785928,0.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,3522,96,359,94,2794878,90191-2,0.0,2936518066,0.0,90,493,201701110138,NULL,3346,1,0,0,0,02518,16929,0,NULL,NULL,NULL,DCS_01153
1117520,162,2017-01-10 00:00:00.0,5,2017-01-10 08:12:00.0,13,841,4043,0,0,16783878,8.0,DB,Y,0,0,20170111_GOT_SALES_NEW.CSV,DCS170112073852,PTI,NULL,DCS,457,43,421,33,2792863,37270-2,0.0,2936303591,0.0,37,318,201701110138,NULL,841,1,0,0,0,08801,17883,0,NULL,NULL,NULL,DCS_02888
1116995,132,2017-01-09 00:00:00.0,7,2017-01-09 13:10:00.0,1,1969,3946,0,0,0,20.0,DB,Y,4732260,0,20170112_GOT_SALES_NEW.CSV,DCS170112073852,PEL,NULL,DCS,0,NULL,0,NULL,2792551,34401-2,0.0,2937151529,0.0,34,313,201701110063,2017-01-11 15:02:29.0,1969,NULL,275,0,0,07819,0,0,S01CLR000502034,S01CLR000502040,SENT,DCS_02883
